"Partei","Mitgliedsbeiträge","Mandatsträger","Spenden natürliche Personen","Spenden juristische Personen","Staatliche Mittel","Summe"
"CDU",40928143.10,17938038.38,11494896.12,6121449.14,42892692.46,138050074.87
"CSU",9173404.62,2994749.13,3428798.74,2034978.74,9610057.63,34998565.11
"SPD",45723505.64,22372378.77,7806793.59,1749065.98,38975194.80,147186628.05
"FDP",8011884.63,3452367.86,4198931.97,1792565.15,13403479.99,34350968.37
"GRUENE",6597014.76,6979775.07,3503921.83,539325.63,11415217.32,31240990.72
"LINKE",9986644.18,3933196.12,2072195.67,21054.75,10835567.16,27851633.38.92
