"Partei","Mitgliedsbeiträge","Mandatsträger","Spenden natürliche Personen","Spenden juristische Personen","Staatliche Mittel","Summe"
"CDU",40073279.99,17477237.60,14552918.19,7265832.24,44641547.45,140959503.99
"CSU",10198757.13,3047845.92,3588507.70,2281128.20,10411577.43,37037726.90
"SPD",47475028.41,22631148.20,9605270.89,2499628.79,42407424.88,155675323.39
"FDP",7439931.05,3312540.18,4870757.06,1738362.29,13588556.74,34296960.89
"GRUENE",7966260.91,7714360.17,3989590.16,860115.07,13814822.37,36826936.78
"LINKE",9711525.20,3907466.24,1905702.11,29070.64,12130761.23,28723432.96
